Madura,Indonesia
Katon gimeng.,Terlihat bingung.
Rama ngaghem pangoladhân,Ayah memakai kacamata
lajânganna èolor lanjhâng sampè' mellèk,layangannya diulur panjang sampai kelihatan kecil
Etopowe rambing atoles sahadat ban asalempang kembang tello to'or,Ditutupi kain sarung bertuliskan syahadat dan berselempang kembang tiga warna.
"Potè tolang maksoddhâ matè, dhinèng potè mata maksoddhâ malo otabâ toḍus.","Putih tulang maksudnya mati, sedangkan putih mata maksudnya malu."
buri'na sopot,pantatnya tepos
"Dhalem tareddebba,lalake' ganeko amempe enneng juko' se raja e malem tera' pornama se kapeng pa'polo settong malem.","Dalam diamnya, laki-laki itu bermimpi mendapatkan ikan yang besar di malam terang purnama yang ke-empat puluh satu malam."
satèya sèngko' ella parcajâ,sekarang saya sudah percaya
ghutong rojhung artèna,gotong royong artinya
Sè ngajhâri iyâ arèya ghuru,Yang mengajari yaitu guru.
Tanangnga Tuni sambi negghu' tanangnga salakè'en.,Tangannya Tuni sambil memegang tangan suaminya.
Kembaliyannya.,Kembaliannya.
lajar pote bang-kambangan,layar putih terapung-apung.
Ta' kaloppaè emmi pagghun èsadiyaaghi neng mijâkakanan.,Tidak dilupakan mi tetap disediakan di meja makan.
Dhâddhi laghu sareng èn-maènanna lumbrâna satangkep.,"Jadi, lagu dan permainannya biasanya menjadi satu kesatuan."
Ta' sapanyolop batton ban dalikana#,Tidak seindah batu delima-nya.
Angen aenter e taneyanna.,Angin berputar di halamannya.
Apa sè èmaksod pidato aksi?,Apa yang dimaksud pidato aksi?
Roma la bânnya' dhâddhi areng.,Rumah sudah banyak menjadi arang.
Badha keya se ekala' landhana kaangguy ekajamo,Ada juga yang diambil sarinya untuk dijadikan jamu.
ana' dhârâka,anak durhaka
"Ja' lamba' mola, dhari se seppo alako ka tase' kabbi","Sebab dari dulu, dari orang tua bekerja ke laut semua."
Lalake' ganeko nampa cangkem.,Laki-laki itu menopang dagu.
"Teks cerita aghȃnḍhu’ 3 unsur, bȃḍȃ tokoh, latar bȃkto, bȃn kadhȃddhiyȃn","Teks cerita mengandung 3 unsur, ada tokoh, latar waktu, dan kejadian"
Pajat akarep sopaja bisa nemmo kalakowan otaba rajekke.,Memang berharap supaya bisa menemukan pekerjaan atau rezeki.
Markoya ngangghep jiyâ biyasa.,Markoya menganggap itu biasa.
"Dhari ganeko, bula arassa buru daddi oreng lake' se gu-onggu","Dari situ, aku merasa baru menjadi lelaki yang sungguh-sungguh."
Sakabbhinna Kèyaè sè èyèller.,Semua kiai yang diincar.
Ghuru lakè’ sè ngajhâr è sakola’an èsebbhut,Guru laki-laki yang mengajar di sekolahan disebut
Ya Alla mandbârâ tada' coba apa ka tang lakè.,"""Ya Allah semoga tidak ada cobaan apa-apa ke suamiku."""
Katon pon abit ta' bas-abasan serdhangnga langnge'.,Kelihatannya sudah lama tidak melihat indahnya langit.
Dhâddhi laghu sareng èn-maènanna lumbrâna satangkep.,"jadi, lagu dan permainan lumrahnya satu kesatuan"
èbhâbhâssa kabbhi mako' imma sè jrumben,akan dibabat habis semuanya mana yang rimbun
Sapoterran bainan.,Satu putaran saja.
"Asèssè’ bânnè jhuko’, abhuncong bânnè merrak, artèna, lanas.","Bersisik bukan ikan, bermahkota bukan merak, artinya, nanas."
Tama'in ta' merri' tao mèmpèna ka sabinè'en.,Tama'in tidak berani memberitahu mimpinya pada istrinya.
Ma'lè langsong èkennèng bi' dhukon Jarot dâyyâ.,Agar langsung ditangani oleh dukun Jarot itu.
Dâlem nem taon jiyâ engko'la omor cokop towa.,Dalam enam tahun itu aku sudah umur cukup tua.
Mon tako' èyojhuk lakar matao pèssè.,Kalau takut diusir memang memperlihatkan uang.
"Orèng towa ḍuwâ’ na paḍâ senneng ḍâ’ lalakona Hotijah, sabâb Hotijah ta’ osa èsoro sè alalakowa pas mancal cakang sè abhersèyan","Kedua orang tuanya juga senang dengan perbuatan Hotijah, sebab Hotijah tidak perlu disuruh, ia langsung sigap bekerja dan gesit membersihkan."
Ma'lè Ninja tadâ' maso'koca'en.,Supaya Ninja tidak bisa masuk katanya.
Tareppa'en jiyâ napsona Rasat ta' bisa èlang-lang.,Kebetulan itu nafsunya Rasat tidak bisa dilerai.
"Sabab, e teggalla bannya' ju-kajuwanna, padhana kaju memba, jate, kosambi, bintaos, nyeyor, ban tarebung","Sebab, di tegalannya banyak kayu-kayuan, seperti kayu mimba, jati, kesambi, bintaro, kelapa, dan siwalan."
calana pènḍâ',celana pendek
teanyo' ombâ' rajâ,terhanyut ombak besar
"Mèlana, ngèrèng maos patètè! ","maka dari itu, baca dengan seksama!"
"Roma sè cek-krecceksè satèya rèya, lambâ' kan perrèng kabbhi.","Rumah yang berdekatan yang sekarang ini, dulu kan bambu semua."
Copana nampes to'-maletto'. ,Mulutnya mengeluarkan suara seperti tembakan.
"Sabellunna maso’ aghȃma Islam, arapa ma’ orèng aghuttha?","Sebelumnya masuk agama Islam, kenapa kok orang aghuttha?"
Badha musiba kapateyan,Ada musibah kematian.
"Ѐngghi, Bhu.","Iya, Bu."
pocak tèmor ghân bhungkana nyèyor,titik terjauh di timur sampai pohon kelapa
Malle bannya'se perak.,Biar banyak yang beruntung.
Keng tako' se kalowara,Tapi takut untuk keluar.
Ajhȃghȃ’ȃn orèng sè tèḍung,Membangunkan orang yang sedang tidur
mano'na nèngghâ'è ranca'na accem,burungnya hinggap diranting pohon asam
kana' rowa cè' langkana ḍâ' sè towaan,anak itu sangat tidak sopan terhadap orang yang lebih tua
mecaltèng atè,patah hati
"Bânnè sè samè moljâ, sabâb oca’ samè arèya bânnè tapè bhâsa Jhâbâ.","Bukan yang sami mulia, sebab kata sami itu bukan tapi bahasa Jawa."
Aghânḍhu’ ponapa sastra ka’èndhâ?,Mengandung apa sastra kok indah?
Ta' bisa ngalakonè pa-apa polè.,Tidak bisa melakukan apa-apa lagi.
bintang kokos,komet
Berta kodhu aropa’aghi kadhâddhiyân sè saongghuna,Berita harus merupakan kejadian yang sesungguhnya
ès ettè,es teh
ta' krabât,tidak terawat
nolès panajhârân,menulis pelajaran
Tanḍhâ tanya èangghuy kalamon,Tanda tanya dipakai kalau
"Kemmana ana' sajan raja, tengka sajan bannya","Dimana anak semakin besar, tingkah semakin banyak."
Lalake' maso' ka kamarra dhalem kobungnga.,Laki-laki itu masuk ke kamarnya dalam gubuknya.
bulu ning-ngraning,bulu yang halus
Mon ta'paddhâng sènga' jiyâ la korang silatdhâ.,Kalau tidak jelas sepertinya kurang silatnya.
Garus ban ebajari kabbi' tadha' se eotange,laris dan dibayar semua tidak ada yang diutang.
Ja' rengan tao carana mega'. ,Karena katanya tahu caranya menangkap.
Sampè' bânnya' sè katondu polana arètalèbât malem.,Sampai banyak yang mengantuk karena hari sudah larut malam.
Biyasana Da-jânda jiyâ ollèbagiyân.,Biasanya janda-janda itu dapat bagian.
"Terro onènga kabhâr sè bâḍâ neng è Cèna otabâ Amerika karè mokka’ internet, google, youtube, tor laènna.","Ingin tahu informasi yang ada di Cina atau Amerika tinggal membuka internet, google, youtube, dan lainnya."
Noro' jhâlânna aros sè matoros.,Mengikuti jalannya arus yang searah.
talebbhu ka ḍâlem somor,tercebur ke dalam sumur
ma' paggun tadha'?,Kenapa tetap tidak ada?
Bula gi' badha se ekacaca'a,Aku masih ada yang mau dibicarakan.
Ta' taona bâdârèng sè angobbhârâ kampong Bangkong.,Tidak tahunya ada orang yang membakar kampung Bangkong.
"Embana Radèn Wijaya noro' pèrak kèya, sè bâdâ neng Giling Wesi.","Neneknya Raden Wijaya ikut senang juga, yang ada di Giling Wesi."
rèng majângan,nelayan
cè' pengkona,sangat bandel
Bhȃk-tebbhȃghȃn kodhu bȃḍȃ apana?,Tebak-tebakan harus ada apanya?
"Anomma mèsem, èpangghâli-yȃnna ngalem ḍâ’ ponakanna sè kaḍuwâ jârèya, sabâb ghi’ anḍi’ rassa nèser ka bân-kèbân è kebun binatang jârèya.","Pamannya tersenyum, dalam pikirannya memuji kepada keponakannya yang berdu itu, sebab masih punya rasa kasihan ke hewan-hewan di kebun binatang itu."
Marena ngobbar laju mangkat entar ka kalebunna kalaban maksod abala ban menta partolongan bab sape owananna se elang,Selesainya membakar langsung berangkat pergi ke kepala desanya dengan maksud memberitahu dan meminta pertolongan perihal sapi peliharaannya yang hilang.
Bâdâ pokol tello'an sèjâghâ.,Ada pukul tigaan dia bangun.
orèng manca,orang asing
jhâ' lâ-bâlâ,jangan sampaikan
Oreng melle nyarotcot.,Orang yang membeli berdatangan terus.
abit ḍhimèn,terlalu lama
"Aba'na ta' aroko' cap balanan banne sakeng polana ta' andhi' roko', tape gi' esempen.","Dia tidak merokok cap 'balanan' bukan karena tidak punya rokok, tapi masih disimpan."
Laen gi' budhu'na se pon abudhu'-budhu,Belum lagi bunganya yang sudah berbunga-bunga.
"Madhurâ sè neptep è Jhâbâ, èngghi panèka ","Topeng dalang di Jawa, disebut"
Anojjhuaghi tojjhuwân sè ètojjhu ka angghuy ngoca'kabâdâ'enna.,Menujukan tujuan yang dituju untuk mengatakan keadaannya.
Bâ'en terro ollèya dhunnya dâri cara sènga' jiyâ.,Kamu ingin dapat dunia dari cara seperti itu.
"Rè-sa’arè, sèngko’ segghut abhȃnto eppa’ so èbhu.","sesehari, saya sering membantu bapak dan ibu"
Pamong la marè ngoca' ka rèng-orèng neng ma-roma.,Pamong desa sudah berkeliling memberitahu ke orang-orang dari rumah ke rumah.
"Iyâ sabâb tako’ sè è bâghi jârèya kakanan otabâ ènoman sè aghânḍhu’ panyakèt, kèbân rèya paḍâ bi’ kita, paḍâ mahlogghâ Ghostè Allah, patot èkanèserrè mara manossa sè kodhu oḍi’ atong bân akor, sambhiddhâ anomma.","Iya sebab takut yang dibagi itu makanan atau minuman yang mengandung penyakit, hewan ini sama dengan kita, sama-sama makhluknya Gusti Allah, patut dikasihi seperti manusia yang harus hidup rukun dan akur, sambungnya pamannya."
Orèng sè maca nyarèng sowarana kodhu lanto tor ?,Orang yang membaca nyaring suaranya harus lantang dan?
"Sè dhâddhi marghâna,","Yang jadi sebabnya,"
anaè' ka'-bhungkaan,memanjat pepohonan
bâllu lèkor,dua puluh delapan
Jhughân na’-nakana’ sè akopa’ panèka tambâ kèntel sè akanca.,juga Anak-anak yang berjongkok itu menjadi lebih akrab dengan temannya.
Keng coma terro matemmowa buja se jau dhari tengnga tase' kalaban accem celo'e attas gunong na'nong bato kaletthak.,Kan hanya ingin menemukan garam yang jauh dari tengah laut dengan asam yang sedikit di atas gunung bebatuan.
Marèna jiyâ kalowar palakona Santos.,Setelah itu keluar para pelakunya Santos.
Mokka' toko.,Membuka toko.
arabut mangghâr,membongkar sauh
"Mon ta' polana dika, ta' kera nga' neko daddina","Kalau bukan karenamu, tidak akan seperti ini jadinya."
Malappa'ana Mano'.,Terbangnya Burung.
Polana pessè dâteng terros.,Karena uang datang terus.
Maya pagghun ta' merri' tao ka embu'en Suroso.,Maya tetap tidak berani memberitahu pada neneknya Suroso.
Arapa Brudin mè’ nangès?,Kenapa Brudin menangis?
"Ngastete, Le', e lowar bannya' gudha'an, dika ban bula mandar gi' epakowada iman","Hati-hati, Dik, di luar banyak godaan, kamu dan aku semoga masih dikuatkan iman."
masa' orèng soghi ta' majâr pajhek,masa orang kaya tidak membayar pajak
Nyorong kaju ka jitho kodu tao ka elmona,Mendorong kayu ke jitho harus tahu pada ilmunya.
Buru tapojaja' ja' aba'na gunna taleyer.,Baru tahu kalau dirinya hanya tersesat.
Maya dhâddhi tokang ngoro' kobhurân.,Maya menjadi tukang urut kuburan.
" È ḍâlem tokèlan puisi moḍèrn è attas, vokal sareng konsonan sè palèng bânnya’ paḍâ èngghi panèka","Dalam kutipan puisi modern di atas, huruf vokal dan konsonan yang paling banyak muncul adalah sebagai berikut."
anḍhâp asor atèna,rendah hati
"Manabi Bulân bâḍâ neng nga’-tengnga’an anta-rana Mata’arè sareng 
Bhumè, Bulân ngandengngè sonarrra Mata’arè ka Bhumè, Neng kennengngan sè ka’andengngan ghâpanèa lajhu ta’ narèma sonarra Mata’arè, è kennengan ghâpanèka petteng lajhu ènyamaè Mata’arè ghrâ’â.","Apabila Bulan ada di tengah-tengah antara Matahari dan
Bumi, Bulan menutupi sinarnya Matahari ke Bumi, Di tempat yang tertutupi itu lalu tidak menerima sinarnya Matahari, di tempat itu gelap lalu dinamai Matahari gerhana."
aerroghân sè seppan,mengenakan rok yang sepan
Aneko otangnga bula sabellunna bula odhi' abareng dika,Ini utangku sebelum aku hidup bersamamu.
ca'na Sarini padhana badha oreng laen se ekabareng acaca,kata Sarini seakan-akan ada orang lain yang diajak bicara.
Dhingla dâpa' ghân Masjid.,Ternyata kalau tiba di Masjid.
Mellè karcis kaangghuy maso’na,Membeli karcis untuk bisa masuk ke dalamnya
Tang bapa' ngennèng polè.,Bapakku menang lagi.
Èbhu abhetthek è ḍimma?,Ibu memasak di mana?
è sèdhimor,di timur
èjhi-pojhi ta' bu-ambu,dipuji-puji terus-menerus
Gella' kan ampon lastare,Tadi kan sudah selesai.
Ta' pate bannya' caca,Tidak begitu banyak bicara.
Tang bine maske ta' mandhi paggun ro'om,Istriku meskipun tidak mandi tetap harum.
Sè sapanèka amarghâ sadhâjâ orèng Madhurâ ampon kaonèng coma nganot Ghâma Islam. ,Yang begitu karena semua orang Madura sudah dikenal hanya menganut Agama Islam.
"Molae ekello'e sampe' kare buntegga, roko'na paggun cekka'.","Mulai diulurkan sampai tinggal puntungnya, rokoknya tetap nyangkut."
nyanḍhâng tarèsna,jatuh cinta
kèbân pèyaraan,hewan piaraan
tolèsân cakar ajâm,tulisan cakar ayam
Katèḍunganna bâḍâ bhântalla,Tempat tidurnya ada bantalnya
Aba'na eseram bulla'na panas are se manggang kole'na.,Dia disiram panasnya terik matahari yang memanggang kulitnya.
Ngantos Lema Ratos.,Menunggu Lima Ratus.
Kacong ganeko egigiri mon mama'na karana akaton ta' enga'se moleya ban ta' enga'se entara ngaji.,Anak itu dimarahi oleh ibunya karena kelihatan tidak ingat untuk pulang dan tidak ingat untuk pergi mengaji.
nyèngkap sampèr,menyingkap kain panjang
Bila eber mate ta' kera nemmo rassa.,Kalau nafsu mati tidak akan menemukan rasa.
"Manfaddhȃ kèbȃn sareng bu tumbuwȃn ḍȃ’ manossa, èngghi panèka","Manfaatnya hewan dan tumbuh-tumbuhan kepada manusia, yaitu"
Pendha asirut.,Seperti menyedot.
molong wâ'-buwâân,memetik buah-buahan
nyara sadhâjâ,permisi semuanya
Kodhu tao ka carana,Harus tahu ke caranya
Ngoca' Pan Mai ka dhisa laènna.,Ucap Pan Mai ke desa lainnya.
Bâgiyân sèkatèngal panèka sè abujud kompolan ca’-oca’ sareng okara neng èsèttong ghâris anyar.,Bagian yang kelihatan itu yang berwujud kumpulan kata-kata dan kalimat di satu baris baru.
Ѐyatorè nyarè ca’ oca’ sè kèngèng ter ater bânnya’na lèma mègghi’,Silakan cari kata-kata yang mendapat awalan sebanyak lima buah.
nyerra otang,melunasi hutang
"Tape, maske dika coma dhateng dha' bula kalaban sa-lambar sattanang lottho' ganeko rassana bisa alebbiyan dhari sakabbiyanna","Tapi, meskipun kamu hanya datang kepadaku dengan selembar selendang lusuh itu rasanya bisa melebihi dari segalanya."
mogher kaju jhâtè sè ella matè ngangghuy gârghâjhi messin,menebang kayu jati yang sudah mati menggunakan gergaji mesin
sambi sem-mesem balibis.,sambil tersenyum tipis.
"Dhinèng compo’ sajân bânnya’ kantos dhâddhi kampong, rèng-orèng bânnya’ mowang bu-rombu bân-sarombân.","Sedangkan rumah semakin banyak sampai jadi kampung, orang-orang banyak membuang sampah sembarangan."
addhreng ongghu,sungguh menginginkan
Polisina ghun neng kalema orèng.,Polisinya hanya ada lima orang.
"Sè èrassa’aghi para maos è ḍâlem teks deskripsi, èngghi panèka ","Yang dirasakan para pembaca di dalam teks deskripsi, yaitu"
Pamanna bakal ngaterragiya ba'na ka babine'se ekakarep ba'na.,Pamannya akan mengantarkanmu ke perempuan yang kamu inginkan.
Na'-kana' bânnya' ngala' kan karèssen neng diyadâ'en romana Buari.,Anak-anak banyak mengambil kerikil di depan rumahnya Bu Ari.
Para Panḍhâbâ aperrang sareng jhin ejjhin sè bâḍâ neng alas ghâpanèka.,Para Pandawa berperang dengan jin-jin yang ada di dalam hutan itu.
Pangghibhâddhâ manabi nèngkonga ka’aḍâ’ sabellunna sè laèn nèngkong èngghi panèka,yang terjadi Jika ia berjongkok lebih dulu sebelum yang lain berjongkok adalah
"Bila enga' e bakto sehadda, Pa' Tenggi lebur ka bangsana","Bila ingat di waktu sehatnya, Pak Kepala Desa baik ke bangsanya."
Kakè mèlè odi' tapè ta' bisa ajbalânan.,Kamu memilih hidup tapi tidak bisa berjalan.
Bariya keya carangnga perreng se akerrengngan,Begitu juga ranting bambu yang kering-kering.
sapèna aenggâr,sapinya berbunyi menderu
Buari molè ta' ollè jâwâbân.,Bu Ari pulang tidak dapat jawaban.
"Dokter molè dâyyâ,tang Emma' nyorowan tang alè'soro mellè jhuko' ajâm neng Niaga.","Dokter pulang itu, Ibuku menyuruh adikku suruh membeli lauk ayam di Niaga."
talam pècos,bentuk talam yang bulat memanjang
Jiyâ ngoca' rang-terrangan ka Pa' Ustat jhâ' dhibi'en bânnèMalaèkat.,Dia berkata terang-terangan pada Pak Ustad bahwa dirinya bukan Malaikat.
"saodda lalake' ganeko paggun,sowarana lere,mellas.","jawab laki-laki itu tetap, suaranya pelan, menyedihkan."
"Mano' nyoba' arassae karana eajak sakanca'an, eajak kalaban mano'-mano' se pon kaelangan kajuwan.","Burung mencoba merasakan karena diajak teman-teman, diajak dengan burung-burung yang sudah kehilangan kayu."
Jhȃjhȃl ghȃbȃy pidato sè tèmana Maulid Nabi Muhammad SAW!,Coba buat pidato yang temanya Maulid Nabi Muhammad SAW!
Pèntana rèng mellak marosak tanana orèng.,Permintaan orang serakah merusak tanahnya orang.
"Bila pon gampang ka aeng, pas laju loppae.","Kalau sudah gampang ke air, lalu lupa."
sarongnga èbher-kebbheraghi,sarungnya dikibark-ibarkan
lebbi raddhin,lebih cantik
mon èolok èbhuna dhuli nyambhit ma' lè ta' èghighiri,jika dipanggil ibunya cepat menyahut supaya tidak dimarahi
ḍu kèlan,dua kilan
Banne pera' gun coma,Bukan seperti hanya sekadar.
dhâmar kambâng,pelita yang menyala dengan sumbu mengambang diatas minyak
"Parlo ta' asakola,polana terro temmowa bi' mowana Markoya sè jân abit jân raddhin.","Rela tidak bersekolah, karena ingin bertemu dengan mukanya Markoya yang semakin lama semakin cantik."
sapa bâ'na,siapa kamu
rapa lè' Dumma?,Kenapa Dik Dumma?
Tadá' rèng binè' tada'parabânna arassa parabân.,Tidak ada perempuan tidak ada perawannya merasa perawan.
Poko' sè bisa makennyangang ka rèng Madhurâ.,Pokoknya yang bisa mengenyangkan orang Madura.
mercon rèntèngan,petasan rentengan
Dhingla dâpa' ka rèng amaèsak keddhung.,Ternyata kalau tiba di dekat pohon kedondong.
ja' laju nga' ganeko,jangan lalu seperti itu.
gheppa' tanang,tepuk tangan
Bula mangkat ka lowar Madura kaangguy nyare elmo maske kalaban bandha pasra,Aku berangkat ke luar Madura untuk mencari ilmu meskipun dengan modal pasrah.
Ghânjârânna Ta’ Pegghâ’,balasannya tidak terhenti
"Dhalem atena Sarini, pekkeranna ajalan","Dalam hatinya Sarini, pikirannya berjalan."
Jalanna abato ban kodu nae' gunong.,Jalannya berbatu dan harus naik gunung.
mèra bhâṭa,merah bata
orèng bughâng,orang goblok
Sabban menggu bula ngoneyana dha' ento gan dhucorong. ,Setiap minggu saya meminta yang dua corong itu.
Ngalèya tales Nom kadhiyâ ampon rajâ.,"mau tanem talas Nom, karena sudah besar."
bâlii polè,datangi lagi
mator sandhika,minta ijin dengan hormat
sajân èpandheng sajân kantara raddhinna,makin dipandang semakin tampak kecantikannya
Tape ta' kalaban edulluwi saot,Tapi tidak dengan didahului sahutan.
Danu mènta sapora ka Bayu,Danu minta maaf ke Bayu
"Dhari sakeng terrona bula se alamara dika, bula aba-langaja sakellarra kaangguy nekkane pamentana dika","Dari saking inginnya aku melamar kamu, aku memaksakan diri sekuatnya untuk memenuhi permintaan kamu."
Banne sakeng ngabas sapa bansapana. ,Bukan karena melihat siapa dan siapa.
Artè oca’ kèyas parnyaè embhân èngghi panèka ,Arti kata kiasan dayang-dayang yaitu
Tama'in la senneng ta' karowan.,Tama'in sudah senang tidak karuan.
Neng karang tèmor sè èkennengngè Semar jiyâbâdâ reng anangès malolo.,Di karang timur yang ditempati Semar itu ada orang menangis melulu.
"Polana modha na, mon pon e baba enggi  ","Karena mudahnya, kalau di bawah, ya"
ta' abit polè pastè molè,tidak lama lagi pasti pulang
Masenneng orèng towa ollè ghânjhârânna sè rajâ,Menyenangkan orang tua mendapat pahala yang besar.
Kan jhâtè la marè èpatè'è.,Pohon jati sudah selesai dimatikan.
Padha ban oreng se laen,Sama dengan orang yang lain.
orèng sè nèngghu kamafal asalabudhân amarghâ jhârân sè narèk ḍokar taocol ḍâri talèna,orang yang menonton kamaval kocar-kacir karena kuda yang menarik dokar terlepas dari talinya
"Mosèm nèmor lanjhâng, bânnya’ sombher aèng sè ?","Musim kemarau panjang, banyak sumber air yang?"
Antos dhinna'ya?,Tunggu sebentar?
Buari ghimeng ka bârâ' ka tèmor.,Bu Ari bingung ke barat ke timur.
Esaba'ka kasangnga.,Ditaruh ke sakunya.
Ta'temmo dâ'râmmana tanangnga Maya temmo angaghâ ka bâbâbujellâ Suroso.,Entah bagaimana tangannya Maya tiba-tiba meraba ke bawah pusarnya Suroso.
bâ' dhibi'na ghi' ta' renna amarghâ ghi' bhuru jhâghâ tèḍung,dirinya dalam keadaan tidak sejuk hati karena baru saja bangun tidur
nasè' sè ghi' panas dhuli sarèpo ma'lè cellep pas bisa ceppet èkakan,nasi yang masih panas cepat ditiup agar ditigin dan bisa cepat dimakan
mon ajhuwâlân jhâ' sampè' rogi,jika berjualan jangan sampai rugi
"Sabab, badan kaula menangka oreng lake' se ena, buru mare bucco' eola'e tor bauna abatthowangan san-kessanagi","Sebab, diri saya adalah seorang lelaki yang hina, baru saja busuk dimuntahkan juga baunya busuk menjengkelkan"
arè ahad ghuttè èntarra ka songenep,hari minggu paman akan pergi ke sumenep
"Atmo ban Matnawi se gella' nyator e jalan, dhapa' ka bengkona Satrawi","Atmo dan Matnawi yang tadi mengobrol di jalan, tiba di rumahnya Satrawi."
"Arowa ro, se ngagunge paraban se ca'na reng-oreng daddi kembangnga disa","Itu loh, yang punya anak yang katanya orang-orang menjadi kembangnya desa."
kapal apoy,kapal api
nyambhelli sapè,menyembelih sapi
Kadhâng pèssè sèwa'enna èkataro dâ' sakanca'an.,Kadang uang sewanya ditaruhkan pada teman-temannya.
Nasè' sabakol èbâghi ka ajam Esarèpo Bèncong|141,Nasi sebakul dibagi ke ayam. Dicari oleh Banci|141.
Polana ce' anena,Karena sangat aneh.
Dhina la nangtennang bâ'en Ma'.,"Biar tenang saja kamu, Paman."
buwâna nyèor abâng-lobâng èkèkkè' ebbhu',buah kelapa banyak berlubang digigit tupai
"Arowa kan badha ondhem celleng, padhana bila para' ojana, ondhem kan celleng.","Itu kan ada awan hitam, sama seperti kalau hampir hujan, awan kan hitam."
tokang sèèr,penyair
emba binè' ella ngalolè,nenek sudah pikun
Èyatorè sarè ghuru laghuna bȃn ghuru bilanganna!,Dipersilakan cari guru lagunya dan guru wilangannya!
Ganeko buru melleya berras ban jagung.,Itu baru membeli beras dan jagung.
Oca’ panèka ènyamaè ponapa?,Kata ini dinamai apa?
Ebȃkto bulȃn pornama,Di waktu bulan purnama
Mèlana bilâ bâḍâ ghrâ’ân rèng-orèng lajhu dhuli mokol ju-kajuwân ngangghuy panebbhâ.,Makanya bila ada gerhana orang-orang lalu segera memukul kayu-kayuan memakai sapu lidi.
Embana matèsabellun Dragula jiyâ dâteng.,Neneknya mati sebelum Dragula itu datang.
"Mèlana sampèyan parlo nyango èlmo pangatowan, aghâma, tor anḍhâp asor sè cokop nyopprè ta’ talanyo’ kabâḍâ’ân.","Makanya Anda perlu berbekal ilmu pengetahuan, agama, dan sopan santun yang cukup supaya tidak tertipu keadaan."
ahli hokom,ahli hukum
labun lastèng,kain kafan berwarna hitam
Pajalanna neler kalenang,Jalannya melenggok gemulai.
ghi' ta' percajâ,masih belum percaya
"Iya, ya' gante gallu","Iya, ini ganti dulu."
Patè' museng jib.,Petis musang.
èrè atè,iri hati
Buari biyasana ngakan lèma kalè sa'arè.,Bu Ari biasanya makan lima kali sehari.
jhâ' sakèngnga,seandainya
Nabang aba'na se mangkat asakola.,mengejar dia yang berangkat sekolah.
Èkèbâ ka tarètanna.,Dibawa ke saudaranya.
tang roma èseddhi'na kantor kacamadhân,rumahku didekat kantor kecamatan
"Engko', Nom Mari, bi' ca-kanca sè laèn amangkat naè'Ettrek.","Aku, Nom Mari, dan teman-teman yang lain berangkat naik Truk."
Sè sèttongnga senneng mon bâdâ rèng sossa otabâ rèng sè ècapo' mosèbâ.,Yang satunya senang kalau ada orang susah atau orang yang dihinggapi musibah.
Oca’  ngènom tamaso’ oca’ sè aghuna’aghi horop vokal ?,Kata ngènom termasuk kata yang menggunakan huruf vokal?
sembhârâng bâkto,sembarang waktu
Kajuna Sudahnan la eangko' epasemma,Kayunya Sudahnun sudah diangkut dipisahkan.
Berta aghânḍhu’ 6 bâgiyân sè kodhu bâḍâ èḍâlemmanna.,Berita mengandung 6 bagian yang harus ada di dalamnya.
Neng è jhâlân Kèyaè Subayri rèya mapak rèng lakè' kadhibi'.,Di jalan Kiai Subairi ini bertemu seorang laki-laki sendirian.
Oreng ganeko gunna pek-kepeggan.,Orang itu hanya geleng-geleng.
"Oca’ panèka jhughân segghut èyangghuy ḍâlem sastra Madhurâ sabâb aghânḍhu’ okara kakanthèn sè èḍinganna èndhâ, Contona bujâ bungkol, tampor buko, nètèr kolènang.","Kata ini juga sering dipakai dalam sastra Madura sebab mengandung kalimat kakanthèn yang didengarnya indah, Contohnya garam sebongkah, ujung buku, memukul bergema."
ghi' bhuru ngaton,baru saja tampak
"Enten keya, nape ja' bauna lakar baceng ban ce' antemma kose marengsa dha' kabadha'an magarsare se badha e dhinto,","enggak juga, tapi kalau baunya memang bau dan sangat menghantam menyusahkan ke keadaan warga yang ada di sini"
ngosso ghighi,menggosok gigi
anaè' ghunong,mendaki gunung
tabuwâng parcoma,terbuang percuma
mènta oghem,minta untuk diramal
Sèngko’ ngantos ebbis è terminal.,Saya menunggu bus di terminal.
osom lap-alap,wabah
Bâḍâna tèks pidato dhâddhi pandhuman mongghu ḍâ’ sè ajhârbâ’âghi. ,Adanya teks pidato menjadi panduan bagi yang menyampaikannya.
Sala settongnga ekagabay tambana sake' tabu,Salah satunya dibuat obatnya sakit perut.
Pan Om èpangejjhit bi' Landâur sè malanjhâng.,Pan Om dikejutkan oleh Landâur yang memanjang.
Ta’ bu ambu alako,Tidak henti-henti bekerja
"Kala' se reng-kerreng gallu, Dul","Ambil yang kering-kering dulu, Dul."
ta' patè ngatèla',tidak begitu melihat
Sè apidato è balai dhisa iyȃ arèya,Yang berpidato di balai desa yaitu
ka’angghuy ajâwâb soal nomer,untuk menjawab soal nomor
Ta' manglo andi' binè artis Tanjung sè perna èyonjhâng orkes li-bâli.,Tidak peduli punya istri artis Tanjung yang pernah diundang orkes berulang kali.
Pate'na laju amonye mon nengale oreng laen se bida dhari tantara pajagana jareya.,Anjingnya langsung berbunyi kalau melihat orang lain yang berbeda dari tentara penjaga itu.
ella marè,sudah selesai
ganeko daddi kaca kebbangnga bula kaanngguy ajalane kaodhi'an abareng dika,itu menjadi cermin besarku guna menjalani kehidupan bersama kamu.
