Madura,Indonesia
tellorra kapper ceknyarekcek è attassâ ḍâun,telurnya kupuku pu terkumpul banyak di atas daun
ombâ' ngapotè bâng-tabângan,ombak tampak putih berkejaran
abinè polè,beristri lagi
sampeyan bila ngetegga pole e gadhiya,kamu kapan bersembunyi lagi di gubuk ini
ka’angghuy sangona èbâdâ,untuk bekal ibadah
tellor sè ta’ dhȃddhi buḍu’ ènyamaè,telur yang tidak menetas disebut
moghâ èparèngè kasalameddhân,semoga dikaruniai keselamatan
rajâ kènè',besar kecil
sè ètolès dhâdddhi okara,yang ditulis jadi kalimat
ḍu bellâs,dua belas
e bakto ganeko lalake' atanya ka aba'na ma' bisa ta' enneng juko' padhahal ontang pon taselep,di waktu itu laki-laki itu bertanya pada dirinya sendiri kenapa tidak kena ikan padahal pelampung sudah tenggelam
tangèsân atè,tangisan hati
jhâ' dhujân lè-calèan orèng,jangan suka mencela-cela orang
èbuḍina bengkona sanima mèyara kèbân,di belakang rumahnya sanima memelihara hewan
bhȃk tebbhȃghȃn è koca’ sastra èn maènan arapa polana,tebak-tebakan dikatakan sastra main-mainan kenapa sebabnya
sajân abit sajân nyata jhâ' orèng rowa ta' jhujhur,semakin lama semakin nyata bahwa orang itu tidakjujur
carètana topèng dhâlâng èkanḍhâ’aghi sareng ,ceritanya topeng dalang diceritakan oleh
se kadhuwa pas duli abajang mangrib ajama'a neng e romana,keduanya lalu segera salat magrib berjamaah di rumahnya
oca’ camporan kadhâddhiyân ḍâri oca’ ponapa,kata campuran terjadi dari kata apa
muna ajâwâb matao mowa sennengngapas muna atanya kèya,muna menjawab memerah muka senangnya lalu muna bertanya juga
bariya keya se kadaddiyan ka saripa endha' sakeng todhus se ngoca'a,begitu juga yang terjadi pada saripa mau saking malu untuk mengatakannya
laèn rèng seppo sareng compo’ ,beda keluarga dan tempat
ghârâssa nyaman ngara,dirasa nyaman mungkin
buari abhâjâng tahajjud,bu ari sholat tahajjud
berta kodhu adhil paḍâ paḍḍhâ ta’ berrâ’ salajâ ,berita harus adil sama setara tidak berat sebelah
kabhâr rèya dâteng dâri embana tuni,kabar ini datang dari neneknya tuni
ngala' ontong,mengambil untung
dhabuna reng seppo mon terro massa'a kabbi batona bila ngobbar ta' olle akareggingan ta' olle ngo'-marongo' ban ta' olle badha se seddhi,katanya orang tua kalau ingin masak semua batunya bila membakar tidak boleh bertengkar tidak boleh cemberut dan tidak boleh ada yang sedih
ngalo-dhu' eber ekabbiyagi#,menelan nafsu disemuakan 
ajhârbâ’aghi rè-cèrèna bhârâng akadhi bârna okoran bujud sareng salenna,menjabarkan ciri-cirinya barang seperti warna ukuran wujud dan lainnya
ѐ ḍâlem bâca’an aḍhâ kanḍâ è attas sè èpakon patè’è èbhu èngghi panèka ,dalam bacaan percakapan di atas yang disuruh untuk dimatikan adalah
 ella langsong rapa ngoca' der-bhender apa tojjhu'enna engko'bi' kakè,sudahlah langsung saja berkata benar-benar apa tujuannya aku dengan kamu
bȃriya kèya eppa’na pas manḍi,setelah itu bapaknya mandi juga
mon meṭṭèk oto' pèlè sè jhâng-lanjhâng,bila mernetik kacang panjang pilih yang panjang-panjang
are ganeko lalake' gancko pon dhapa' ka romana,hari itu laki-laki itu sudah sampai di rumahnya
apa’an nyamana gheḍḍhȃng sè ètamen orèng,apa saja nama pohon pisang yang ditanam orang
carètana ḍhempo abâng èngghi panèka contona carèta sè aropa,cerita dhempo abang adalah contoh cerita yang berupa
ngenjam man,meminjam mas
cè' holuna sè èntar,terlalu perlu untuk mendatangi
bila pon gampang ka aeng pas laju loppae,kalau sudah gampang ke air lalu lupa
erra' pèrèng,rak untuk menaruh piring
apapole tang ana' la kadhung eameddagi ka keyaena polana sengko' la towa ban lako ke'-sake'an,apalagi anakku sudah terlanjur diamitkan ke kiainya karena aku sudah tua dan sering sakit-sakitan
ta' kaqhik èberri',tidak kunjung diberi
konsonan sè palèng bânnya’ sè paḍâ ḍâlem bhâris sè kapèng tello’ èngghi panèka ,konsonan yang paling banyak yang terdapat pada baris ketiga adalah
orèng sè nompa' kenḍaraan possa' asek-seksek,orang yang naik mobil penuh bersesak-sesakan
cè' ro'omma,sangat harum
bâḍâ apoyya,ada apinya
cè' sakejjhi'na,sangat sebentar
è lonalon ratosân orèng paḍâ akompol nèngghu kerrabhân sapè,di alun-alun ratusan orang berkumpul menonton karapan sapi
sè noro' bâgiân,yang ikut bagian
blâ mosèm nambhârâ’ bânnya’ orèng tanè aghârâp ,bila musim hujan banyak petani menggarap
korang patot,kurang patut
jhuḍhu bân patè bâḍâ sè ngraksa,jodoh dan mati sudah ada yang mengatur
sèrè konèng,daun sirih yang berwarna kuning
mon rèng satèya lakar la kabânnya'an lakona dhâ-nèndhâ tadâ' sè bisa alako ghu-ongghu molaè dâri adâ',kalau orang sekarang memang sudah kebanyakan kerjanya meniru-niru tidak ada yang bisa bekerja sungguh-sungguh mulai dari depan
ngombâr arè,matahari yang akan terbit
maddha na,tidak apa-apa sudah
cètakghângen-palengngennan sajân ètambâ ota,kepalanya pusing semakin ditambah muntah
na’-kana’ sè èkalâ’ghellâ’ panèka pas toḍus ka kancana,anak yang ditertawakan itu pun menjadi malu pada teman-temannya
bhiri otabâ bhâris neng tembhâng macapat èsambhât ,baris di dalam tembang macapat disebut
ban barang se kona lakar koko parana,dan barang yang lama memang kokoh banget
sapanèka jhughân manabi nyerrat sessellan nyerrat panotèng sareng nyerrat oca’ sè aghânḍhu’ konfiks ,begitu juga jika menulis sisipan akhiran dan menulis kata yang mengandung konfiks
anya tanya dha' aba'na dibi' e dhimma asalla moleya dha' emma,bertanya pada dirinya sendiri dari mana asalnya pulangnya ke mana
sowara binena se towa kalowar dhari dhalem dhadha antara kacaremmeddan tor kaposangan se ngalengsang,suara istrinya yang tua keluar dari dalam dada antara kekesalan dan keputusasaan yang merana
bila lejjar bakal soro,bila hancur akan longsor
parao majâng,perahu layar yang digunakan nelayan untuk menangkap ikan di laut
gheḍḍhâng maddhu,pisang madu
saarè bhentèng,sehari penuh
e bakto mano' ganeko pan-barampan bulan ekaelang,di waktu burung itu beberapa bulan hilang
sanonto kata' pera' posang se badha,sekarang kodok hanya pusing yang ada
dhalem abanga' tacengnga'nacocco' kadhang sampe' loppa barang ganeko daddi potthon ban ta' daddi pe-nape#,dalam membawa keterkejutannya paruh kadang sampai lupa barang itu jadi potongan dan tidak jadi apa-apa
jȃrèya sè èkoca’ amaèn samba olahraga,itu yang disebut bermain sambil berolahraga
bânnè kèng coma,bukan hanya
maos teks narasi aghânḍhu’ maksod ponapa,membaca teks narasi mengandung maksud apa
mara pokol engko' ka' ta' rapa la engko' pasra,ayo pukul aku kak tidak apa-apa aku pasrah
senjatana èyocol kabbhipolana ta' tahan ka tabu'en sè aghâlubuk bi' ola',senjatanya dilepas semua karena tidak tahan pada perutnya yang meronta dengan mulas
nyamana semar dhing sèttongnga anyama simar,namanya semar dan yang satunya bernama simar
bengko sè apaghâr ennyat rowa,malemma katonon
dhinèng bhiḍhâna paparèghân sareng pantun èngghi panèka ta’ èyator ḍâlem sèttong atoran artèna bibâs,sedangkan bedanya paparèghân dan pantun yaitu tidak diatur dalam satu aturan artinya bebas
ḍâ' ka' ḍissaa,mau pergi kesana
meḍḍhâk malèng,mengejar maling sambil berteriak
moso langsong ngejjhit,musuh langsung terkejut
nyemmèr obu',menyemir rambut
aghânḍhu’ ponapa sastra ka’èndhâ,mengandung apa sastra kok indah
ghetta potè,getah putih
sèyang malam alako,siang malam bekerja
lalake' ganeko pon taleyer,laki-laki itu sudah terlelap
èpar ngogâân,adik ipar
pottra gheghântèn,putra mahkota
seppet atompang mardha ,sempit bertumpuk biasa
pandhighâ pagghun apèrak bhunga,nelayan tetap senang bahagia
sitti alè’na fieda,sitti adiknya fieda
sampe' sanonto bula gi' ta' kellar nyerra,sampai sekarang aku masih tidak kuat membayar
bâktona la dapa',waktunya tiba
salat ajâmaa,shalat berjamaah
bit-abidhân maya ngako kèya,lama-kelamaan maya mengaku juga
pasar sennènan,pasar senin
asaot kalaban atole,jawabnya sambil menoleh
arè kiyamat,hari kiamat
mon jareya larang,kalau itu mahal
pesse saratos daddi saratos sapolo dhalem sabulan,uang seratus menjadi seratus sepuluh dalam sebulan
sè è adâ’ nyaronèn sè è èrèng nabbhu ghendhâng sè è budi,yang di depan meniup saron yang di samping menabuh gendang yang di belakang
pangghibhâddhâ manabi nèngkonga ka’aḍâ’ sabellunna sè laèn nèngkong èngghi panèka,yang terjadi jika ia berjongkok lebih dulu sebelum yang lain berjongkok adalah
ḍhâbuna sadhâjâna tokoh panèka pas dhâddhi bâca’an aḍhâ kanḍâ otabâ bâca’an aḍon janḍon,perkataan seluruh tokok tersebut kemudian dijadikan bacaaan obrolan atau dialog
bâjâng kolè',wayang kulit
lampu-lampu pon tera' agante sonar solap are,lampu-lampu sudah terang menggantikan sinar silau matahari
bâkto mosèm nambhârâ’ onḍemma,waktu musim hujan mendungnya
aba'na maske alako mekol pendha ta' pate aserro polana sakone' ollena alako,dia meskipun bekerja memikul terasa tidak terlalu berat karena sedikit hasil dari bekerja
orèng jiyâ tacengnga',orang itu terkejut
ka bârâ’ ghâdheb ka tèmor ghâdheb apa ,ke barat daun pisang ke timur daun pisang apa
berta kodhu bisa ngajhâk orèng sè maca terro taowa sampè’ konco’ bhungkèlla cèrèna akadhi ,berita harus bisa mengajak orang yang membaca ingin tahu sampai ujung pangkalnya cirinya seperti
orèng alèm,orang alim
kassa' mangkat ponl ta' usa abali pole,cepat berangkat tidak usah kembali lagi
lalake' ganeko olle kalakowan alandhu' bako ngala' derrebban,laki-laki itu mendapat pekerjaan melanduk tembakau mengambil hasil panen
bâkto jiyâbâdâ monyèan pok-kopok neng kopèngnga,waktu itu ada bunyian kura-kura di telinganya
banne ta' esto se adina'na dika kalaban raja pangarep,bukan tidak setia untuk meninggalkanmu dengan besar harapan
malekko’ mara tangghiling,melingkar seperti trenggiling
aneko ta' bannya' gallu',ini tidak banyak
ekspresi mowa akantha mata colo’ bȃn èlong,ekspresi wajah seperti mata mulut dan hidung
opama ma manabi èparèngè lajâr amonyè ,misalnya jika diberi lajar bunyinya
aèng bi'odângnga èkoras,air dan udangnya dikuras
naghârâ bâlândhâ,negara balanda
 dragula dbuliyân ngala'agbi bang potepas saba' neng attas labángnga,dragula cepat ambilkan bawang putih lalu taruh di atas pintunya
karè tèhella sè ghita' èpasang,tinggal gentingnya yang ternyata dipasang
ѐ ḍâlem tokèlan kanḍhâ è attas sè èpakon jhâ’ wâng buwâng èngghi panèka,dalam cuplikan percakapan di atas yang diperintahkan jangan membuang-buang adalah
mènta oghem,minta untuk diramal
jbá' sampè' tako',jangan sampai takut
dâpa' ka somor engko'angala'udu',tiba di sumur aku mengambil wudu
jagai ana'na bula ka jithowa nyoledda ma' ta' pate malem notobba dhaggi',bangunkan anaknya aku mau ke jitho mau nyulut agar tidak terlalu malam tutupnya nanti
kadhang gurina budhu bariya,kadang malah bodoh begitu
manabi bhumè loros bâḍâ è nga’-tenga’ânna aghâma islam  ngator tor èkalajhu  bâḍâ ghrâ’ân bulan ,apabila bumi lurus ada di tengah-tengahnya agama islam mengatur dan dilanjutkan ada gerhana bulan
mare adikker dulla ngaji etetene sudahnan,selesai berzikir dulla mengaji disimak sudahnun
ji mas'ot daddi oreng paleng sogi se sateya bannya' sampanna,haji mas'ot menjadi orang paling kaya yang sekarang banyak sampannya
kaula ban ana'na ta' kera ngakan berras ganeka mon ta' epabali,saya dan anak tidak akan makan beras itu kalau tidak dikembalikan
ahèrra jusop nemmo akal,akhirnya jusop menemukan akal
lajângan kopè’an bhâi ma’ lekkas dhâddhi bân dhuli kennèng ocol,layangan ikan saja biar cepat jadi dan segera bisa diterbangkan
atanya'a alasanna dragula jiyâ arapa ma' matè'è ba-emba,bertanya alasannya dragula itu kenapa kok membunuh mbah-mbah
berta sè biyasana èserrat kalabân rèngkes tor sakonè’ ponapa bâḍâna èsambhât berta ponapa,berita yang biasanya ditulis dengan ringkas dan sedikit apa adanya disebut berita apa
markoya rèya orèng sè marè èghi-naghi lakèna,markoya ini orang yang selesai ditagih-tagih suaminya
talèbât saktè,sangat sakti
bilâ èkakana lè’èrra pas èghelghel sèssè’na lajhu èsèrsèr sampè’ bhersè mara tebbhâk apa jârèya ,bila dimakan lehernya lalu dipenggal sisiknya lalu disisir sampai bersih mari tebak apa itu
sè abhâbhâd alas ngamarta èngghi panèka ,yang membabat alas ngamarta yaitu
sabhȃnyon sakèthèng,semua bersama-sama
mon èyajhȃri lekkas ngartè èkoca’,jika belajar dengan cepat mengerti disebut
dokter nyorowan soro rabât lokana bhâi,dokter menyuruh suruh rawat lukanya saja
jhȃjhȃl ghȃbȃy èssèna pidato,coba buat isinya pidato
saleng kosot lampat,saling sikut lewat
namen tenggâng,menanam singkong
ponapa sè èmaksod sareng deskripsi nyata,apa yang dimaksud dengan deskripsi nyata
èyatorè abâḍhi okarang sè aghânḍhu’ oca’ sè kèngèng ter ater,silakan buatkan karangan yang mengandung kata yang mendapat awalan
mahlok alos,mahkluk halus
amamaliyâ tana sè ghâbây tambhâ' odâng dhâddhi nanè bujâ polè,mengembalikan tanah yang untuk tambak udang menjadi menanam garam lagi
ngodhana perreng ganeko ekerra' epakene' kene',tunas bambu itu dipotong kecil-kecil
ropana ladding reya se mate'e tang bine,rupanya pisau ini yang membunuh istriku
sala settong gunana kapor epangorap,salah satu gunanya kapur untuk mengecat
makè engko' dâgghi'ta'parabân engko' pagghun arassa parabân ka',meskipun aku nanti tidak perawan aku tetap merasa perawan kak
cè' sennengnga nèngghu orkès,sangat menyenangkan menonton hiburan musik
mon manḍi ngangghuy apa,kalau mandi pakai apa
dhing abâ’ lapar jha’ nyarè nase’ è amper tapè kodhu nyarè è ḍâpor,jika badan lapar jangan mencari nasi di teras tetapi harus mencari di dapur
e settong bakto bannya' oreng nyoro sopaja mano'ganeko esambelli,di suatu waktu banyak orang menyuruh supaya burung itu disembelih
sorat buḍhek,surat kaleng
eppa'na aemongan nyare lako sopaja nemmo se ekaka-na,bapaknya melamun mencari pekerjaan supaya bisa mendapatkan yang bisa dimakan
jȃwȃb pètanya è bȃbȃ rèya,jawab pertanyaan di bawah ini
pangangghuy panambâ sè èsambhât kerret otabâ perper panèka èsabâ’ èghântongngaghi è bâbâna aksara ghâjâng,pangangghuy panambâ yang disebut kerret atau perper diletakkan dengan cara digantungkan di bawah aksara dasar
koca'en rèng sè mogherkan jhâtè jiyâ perna èkèding anangès,katanya orang yang menebang pohon jati itu pernah terdengar menangis
ma'bisa bâdâ dinna' mayyitdhá landâur rèya,kok bisa ada di sini mayatnya landâur ini
tojjhuwânna ma’ ollè na’-kana’ sè nangès panèka pas ḍiem sareng loppa ka sè èkatangès,tujuannya adalah untuk membuat anak kecil yang menangis diam dan lupa dengan yang ditangisi
kalagguwanna pajjar molae ngombar matao roba dhari temor,pagi-paginya fajar mulai muncul menampakkan dirinya dari timur
ѐ ḍâlem tokèlan kanḍhâ è attas sè èpatongana yanto èngghi panèka,dalam cuplikan percakapan di atas yang mau dibeli yanto adalah
 èyatorè abhȃḍhi ghȃlompo’ bȃng sèbȃngngȃ 4 5 na’ kana’,dipersilakan membagi kelompok setiap kelompok 4-5 anak-anak
ḍâ' ka pèngghir,ke sebelah pinggir
ta' plasdhâ,tidak jelas melihat
kan iyâ,maka dari itu
ma’ ollè bâ’na ceppet kalowar ,mungkin kamu jadi cepat keluar
polana onjhângan la marè ajhâlân ka lâ-bhâlâna,karena undangan sudah selesai berjalan ke kerabat-kerabatnya
labây massa',laway yang sudah diberi kanji berwarna putih
ajâm pangghâng,ayam panggang
pojur onggu,beruntung sekali
ajhântor ghânta',menggantung jangkrik dengan benang dengan mengikat pangkal kakinya
tojjhuwânnèpon teks deskripsi panèka èngghi ka’ḍinto nyopprè para maos akadhi sè arassa’aghi tor alampa’aghi dhibi’,tujuannya teks deskripsi itu yaitu supaya para pembaca seperti yang merasakan dan melakukan sendiri
kana' binè' rowa cè' bhrâncana,anak perempuan itu sangat ramah
sahi tedhung nganceng labang e pangkengnga saellana agariyeng ban binena,sahi tidur mengunci pintu di kamarnya setelahnya bertengkar dengan istrinya
ḍhukon sarat,dukun yang ahlinya meramal
markoya bânnya' èjhelling orèng,markoya banyak dilihat orang
tèks pidato èserrat ka’angghuy maghâmpang ḍâ’ sè ngastanè,teks pidato ditulis untuk memudahkan bagi yang menyampaikan
dhâddhi ta'ghârâssa sala sakalè,jadi tidak merasa salah sama sekali
dhinèng èssèna teks narasi bisa,sedangkan isinya teks narasi bisa
lahèr bhâtèn,lahir batin
ta' nyangka jhâ' bâdâ'â kampong kennengnganna rèng bencong,tidak menyangka bahwa ada kampung tempatnya orang banci
èyatorè nyarè palèng sakonè’na tello’ oca’ sè kèngèng sessellan,silakan cari paling sedikit tiga kata yang mendapat sisipan
èyatorè jâwâb pètanya pètanya è bâbâ panèka kalabân lerres,silakan jawab pertanyaan-pertanyaan di bawah ini dengan benar
 pan-bârâmpan kalè pornama dhin bhâghus sè ka pamellèngan ,beberapa kali purnama den bagus yang ke pamellèngan 
arè la malem,hari sudah malam
labâng bugi,pintu belakang
puisi modern sè bhul ombhullâ ghânjârânna ta’ pegghâ’ è attas ayèssè bhâb ,puisi modern yang berjudul balasan tak henti di atas mengandung isi
lalake' ganeko acareta ka tan-taretan ban la-balana,laki-laki itu bercerita ke saudaranya dan kerabatnya
manabi na’-kana’ sè amaèn laghu èn-maènan ghâi’ bintang panèka abânnyâ’an sareng laghu èn-maènan pa’-opa’ ѐling,jika anak-anak memainkan permainan ghâi' bintang ini lebih banyak daripada permainan pa'-opa' èling
ngèbâ molè gellar ,membawa pulang gelar
bula ta' terro kadaddiyan saropa teppa' ka bula ban dika,aku tidak mau kejadian serupa jatuh padaku dan kamu
lebur kan mon tadha' buluna gi'an,seru kan kalau tidak ada bulunya dulu
rèng-orèng atambâ bâringas,orang-orang bertambah beringas
ana'na sè bungso bekdembek,anaknya yang bungsu bertubuh pendek dan gempal
onḍemma langkep,awan merata
sanonto ebbunna abak tandhes,sekarang embunnya agak terasa
mad ja'i mole ka bengkona kalaban perak,mad ja'i pulang ke rumahnya dengan hati yang beruntung
sakabbhinna angangghuy mènya' mabâng ta' èkèkkè'a kalèng,semuanya memakai minyak wangi tidak digigit tawon
sakabbhinna rèng-orèng kampong molaèbhunga,semua orang-orang kampung mulai bahagia
badha se nyare katongko'an,ada yang mencari pijakan
e adha'na lalake' gane-ko barakay abaladhas para' nabbra'a aba'na,di depan laki-laki itu petir menyambar hampir menyambar dirinya
arassa ḍhâmmang,merasa ringan
tengnga malem,tengah malam
oreng-oreng lebat pag-gun bannya',orang-orang yang lewat tetap banyak
antos ka lagguna,tunggu sampai besok
lo' ngangghuy brâna,tidak memakai sekat
masala rèya èkèding orèng sabumè indonesia pamarènta marè ngèrèm polisi otabâ tentara sè cè' bhâghussâ,masalah ini terdengar ke seluruh indonesia pemerintah lalu mengirim polisi atau tentara yang sangat hebat
bhâk-tebbhâghân èkoca’ghi kalabân samar sopajȃ arapa,tebak-tebakan diucapkan dengan samar supaya kenapa
roko'na ekello'e,rokoknya kerumuni
tokang bhuru,pemburu
settong reng lake' dhateng ngeba pappana geddhang,satu orang lelaki datang membawa pelepah pisang
èkèbâ ka tarètanna,dibawa ke saudaranya
attas baba padha arassa,atas bawah sama-sama merasakan
odhi' mate judhu sake' baras risgi kabbi guste allah se ngator,hidup mati jodoh sakit sehat rezeki semua gusti allah yang ngatur
tanèyanna compo’na reza rammè è bâkto ,halamannya rumahnya reza ramai di waktu
ḍâun solot,kerukut
bapa’ èbhu haḍirin sè paḍâ moljâ,bapak ibu hadirin yang sama-sama mulia
rèng towana suroso todus ka tamoy tamoy sè èonjhâng mantan binè' bi'onjhângan sè dâri dhibi'en,orang tuanya suroso malu pada tamu tamu yang diundang pengantin perempuan dan undangan yang dari dirinya
kana' rowa èampèè sètan,anak itu kesurupan setan
ta' duli ngeddha,tidak segera pulas
ca'na oreng se tao ka kocengnga koceng ganeko buru dha' dhaja,kata orang yang tahu ke kucing itu kucing itu lari ke utara
bâḍâ saponapa cèrèna berta sebbhuttaghi,ada berapa cirinya berita sebutkan
maelang neng dhisa nèpa bi' embu'en putri tunjungsekar,menghilang di desa nepa dengan neneknya putri tunjungsekar
oca’ sè kèngèng tambâ’ân ḍâlem tokèlan bâca’an è attas èngghi panèka,kata yang mendapat imbuhan dalam cuplikan bacaan di atas yaitu
oca’ parik artèèpon larik otabâ ghâris,kata parik artinya larik atau garis
aneko'gallu panjerra,ini dulu bayarnya
engko' la jberrá sèalakèa polè,aku sudah jera bersuami lagi
ghi' bhuru abungo,baru saja bangun tidur
mon jat mekker ma' coma neng-enneng e compo,kalau memang berpikir kenapa cuma diam-diam di rumah
ngothes ca'na#,mandi katanya
bhidhâna topongnga semar sareng sè laèn èngghi panèka ,bedanya topengnya semar dengan yang lain yaitu
margâna dhuli sarèpo ma' lè ngokos,bara aprnya cepat ditiup agar berasap
otang janji majar janji,utang janji bayar janji
roma gheḍḍhung,rumah gedung
èyatorè bhâḍhi okara ḍâri ca’-oca’ camporan è bâbâ ka’ḍinto,silakan buat kalimat dari kata-kata campuran di bawah ini
ba'na ta' olle tao ka pokpara batharakala se la talebat kona cong,kamu tidak boleh tahu masalah perkelahian yang sudah terlewat nak
ahèrra mangkat polè bi' rombonganna,akhirnya berangkat lagi dengan rombongannya
robâna la katon bhunga,wajahnya sudah kelihatan gembira
eppa'en langsong ka dâlem kamarra maya,bapaknya langsung ke dalam kamarnya maya
masèttong raghâ sareng panḍhâbâ,menyatu raga dengan pandawa
posang ngalengsang,pusing gelisah
lakar la dâyyâ mon rèng ngobu parao sè ta'bhâjjrhâ,memanglah begitu kalau orang memelihara perahu yang tidak mujur
bâḍâ puisi sè ngangghuy sabhiri duwâ’ bhiiri tello’ bhiri empa’ bhiri ḍâlem sèttong paddhâ anḍhegghân,ada puisi yang menggunakan satu baris dua baris tiga baris empat baris dalam satu bait
oreng aperagan ca'na,orang-orang berkelahi katanya
bhâsa tengngaan,language tengahan
ja' engko' ta' ngennenga ngerem bisa mato-ro' ka eppa'na bulla,kalau aku tidak sempat mengirim bisa nitip pada bapaknya bulla
bilâ ḍâpa’ ka pongkasanna laghu panèka pas jhung ghâlluwân nèngkong,ketika sampai di akhir lagu mereka serentak berjongkok
ta' abit sèajhâlân tang emma' mo-temmona aserro,tidak lama berjalan ibuku tiba-tiba menjerit
se ekoca' lan-bulanan areya lobangnga jitho ebabana barambang,yang disebut terowongan ini adalah lubang jitho di bawahnya bibir
dhapa' ka tengnga jalan bingong nojjuwa dha' emma kerana,sampai di tengah jalan bingung mau kemana
aba'na pon parcaja mano' ganeko ta' kera buru polemaske ngabber,dia sudah percaya burung itu tidak akan lari lagi meskipun terbang
cè' tangghungnga,sangat tanggung sekali
mad jalinge akerrak dhara pas esemburragi ka mad ja'i se pon nyengla dhari kennengan manjengnga,mad jalinge mengeruk darah lalu menyemburkannya ke mad ja'i yang sudah bergeser dari tempat berdirinya
ontong ḍhiḍḍhi',untung sedikit
bâḍâ se dhâddhi dhâlâng bâḍâ sè dhâddhi prabu ḍèstoroto sengkuni brontosèno dewi arimbi,ada yang jadi dalang ada yang jadi prabu destoroto sengkuni brontoseno dewi arimbi
sahwi sajan majarna' ka kancana se kadhuwa bi-lebbi ka brudin se abak anapso dhalem ngadhebbi masala areya,sahwi semakin menjelaskan kepada temannya yang berdua terlebih lagi kepada brudin yang sedikit bernafsu dalam menghadapi masalah ini
nota bherrâs sampè' dhâddhi teppong,menumbuk beras sampai menjadi tepung
sè kapèng ḍuwâ’ è ḍâlem bâca’an panèka bâḍâ asmana tokoh sè abu ḍhâbu,yang kedua dalam bacaan ini terdapat nama tokoh yang menyampaikan kata
budhun semmat,jenis budhun yang bentuknya lebih kecil tapi lebih sakit rasanya
pandhighâ la ta' mempan makè la ngangghuy tongkalan,nelayan sudah tidak mempan meskipun sudah memakai pelampung
megghâ’ keccap è tengnga’anna oca’ kantos andhâddhiyaghi obâna artè èsambhât ,memenggal suku kata di tengahnya kata sampai menyebabkan berubahnya arti disebut
tape rassa ojang pon ekarassa eman-dhimman,tapi rasa keringat sudah terasa lama
mantan anyar,pengantin baru
sè èrangkep moghâ-moghâ dâ’-adâ’ lalakè’ bâbinè’ car-kalacèr  sareng laènna,yang diulang  mudah-mudahan  pura-pura tidak ada  laki-laki  perempuan-perempuan  berlarian kesana-kemari  dan lainnya
pola kodu salameddi ,mungkin harus diberi sesajen
berras ganeko ebagi ka binena,beras itu diberikan ke istrinya
sè èwisuḍâ mènangka jhumenneng rato neng ngastinapura ,yang diwisuda sebagai bertahta menjadi raja di ngastinapura
sanèrbhâna bhâdhân kadhi sè robbhuâ,semua badan sepertinya akan jatuh
buari langsong kabâtèr ka sabinè'en,buari langsung khawatir pada istrinya
konsonan èbhidâ’aghi ḍuwâ’ macem iyâ arèya konsonan,konsonan dibedakan menjadi dua macam yaitu konsonan
ping pilu’ kaju nangka kaju sokon,ping pilu' kayu nangka kayu sukun
bhâruwâng bânnya’ macemma bâriyâ kèya bânnya’na ghighina ta’paḍâ neng tong-sèttongnga cem-macemma,beruang banyak macamnya begitu juga banyaknya giginya tidak sama pada setiap macam-macamnya
dhâddhi ghighina bhâruwâng ta’ malolo,jadi giginya beruang tidak melulu 
marè èkèba ka man-dâmman pagghun,selesai dibawa ke mana-mana tetap
sombhȃngan rp 25000  bȃng-sèbȃngnga na’-kana’,iuran rp 25000  masing-masing anak
apangrasa mon ekebbas lencak ganeko bakal aguli otaba ekarassa mon cebbingnga,merasa kalau diibas ranjang itu akan bergoyang atau dirasakan oleh si bungsu
abhȃḍhi cagar alam sareng suaka maragwatsa,membuat cagar alam dan suaka margasatwa
engko' ngejjhit ta' ro-karowan,aku terjaga tidak karuan
ba'na ta' notopya,kamu tidak tutup
banne kawajibanna dika,bukan kewajibanmu
tanalèna ghâjhâ,belalai gajah
nyama sèèyangghuy rèya cem-macem bârnana,nama yang dipakai ini bermacam-macam rupanya
bee arapa ka' bâ'en arapa jiyâ sokona ma'nèddha'tomat,weh kenapa kak kamu kenapa itu kakinya kok menginjak tomat
markoya sè atowadhâ polana tako'rèng-orèng dâtengngan polè,markoya yang terkejut karena takut orang-orang datang lagi
ameddhed cè' abitdhâ,menunduk sangat lamanya
muna amantan kèya,muna menikah juga
ajâmma dulla bâḍâ ,ayamnya dulla ada
tadâ' kabhâr bâdâ ninja bâdâ apa,tidak ada kabar ada ninja atau ada apa
tama'in dâteng dâri sabâna,tama'in datang dari sawahnya
saodda dhari budhiyanna kandhangnga sambi ngodhi'i ngo'-tongngo',jawabnya dari belakang kandang sambil mengupas singkong
ponapa sè èmaksod sareng anyar mènangka sala sèttong cèrèna berta,apa yang dimaksud dengan baru sebagai salah satu cirinya berita
dina maske gunna arebba sabbrang,sudahlah meskipun hanya membersihkan rambanan
bandhana gi' sambi nyare e jalan,modalnya masih sambil mencari di jalan
mon bȃkto nèmor tamennan parlo èpabȃremma,kalau musim hujan tanaman perlu dibagaimanakan
laèn bi' rasat,lain dengan rasat
obu'na ecokor kokona eketthok,rambutnya dicukur kukunya dipotong
la dina ra,ya sudahlah
mare ngaji dulla ngalle ka pangkengnga dibi' kaangguy ajar pangajaran sakola'anna,selesai mengaji dulla pindah ke kamarnya sendiri untuk belajar pelajaran sekolahnya
nambâi saèna palappa ,menambah enaknya bumbu
apoy sajan mejet,api makin diam
ka laen kennengngan,ke lain tempat
kembhâng selasè,bunga selasih
ahèrra jusop mèkkèr,akhirnya jusop berpikir
