Madura,Indonesia
ngameral salma ebarangko,memeluk salma dirangkul
bhâḍhi arengsareng maos tahlil,bersama-sama untuk membaca tahlil
bukuna rosak èkrèkèdhi tèkos,bukunya rusak digigit tikus
pèlak ngoy-langngoyan è songay,pintar berenang disungai
ja' papadhana oreng se ngoras nagara,jangan seperti orang yang menguras uang negara
ngodhana perreng ganeko ekerra' epakene' kene',tunas bambu itu dipotong kecil-kecil
mandhi pangoca'na,perkataannya bertuah
yâ pagghun bânnya' sè partajâ,ya tetap banyak yang percaya
ca’èpon orèng pèntèr manabi èlmo ta’ asanḍhing aghâma panèka buta dhinèng aghâma ta’ asanḍhing èlmo panèka teppang,katanya orang pintar apabila ilmu tidak bersanding agama itu buta sedangkan agama tidak bersanding ilmu itu timpang
samènggu bâḍâ,seminggu ada
pidato iyâ arèya sèttong lalakon aberri’ ḍhâḍhâbuwân ka’angghuy orèng laèn sè rabu è sèttong papangghiyȃn,pidato yaitu satu perbuatan memberi ucapan untuk orang lain yang hadir di satu pertemuan
talè kabâ',tali terbuat dari kawat
toju' asanglè' soko,duduk bersilang kaki
dhu se kemma eteggu'a,duh yang mana yang dipegang
salaen ganeko mano'ganeko malle ta' gunna nyeksa se andhi' lalake' ganeko,selain itu burung itu biar tidak hanya menyiksa yang punya laki-laki itu
jareya budhu'na ekenneng kala' la,itu anakannya bisa diambil
agabay kopi dibi',membuat kopi sendiri
jhâ' lâ-bâlâ,jangan beri tahu
pegghel polana rasat ta' ghellem kalowar dâlem romana,jengkel karena rasat tidak mau keluar dalam rumahnya
tang emma' segghut ngoca' dâyyâ,ibuku sering berkata begitu
polana ninja celleng rèya kenceng odi' polè,karena ninja hitam ini kuat hidup lagi
tape tadha',tapi tidak ada
dhu' lekor,dua puluh dua
obu'na èghunjhir,rambutnya dikuncir
arna' ma' sè terro kabinna moso rèng binè' raddhin,sangat bersemangat ingin mengawini wanita yang cantik
bâdâ oca' dâri rèng ngatowa,ada ucapan dari orang tua
mandar ta' angena oreng majang ma' bannya' olle-na,semoga tidak berangin orang melaut supaya banyak dapatnya
tama'in molaè ghelle' tosdântosan dul muni sè magiyâ pèssèna kennengngan,tama'in mulai geli menunggu-nunggu dul muni yang membagi uang tempat
angghuyyâ èbâktona anakso seḍḍhi dhâddhina perrang,pakainya di waktunya murka sedih jadinya perang
sabbhân arè,setiap hari
omorra orèng ta’ masthè,usianya orang tidak mungkin
bhȃruwȃng ḍimma sè abulu potè,beruang mana yang berbulu putih
oca’ sè kadhâddhiyân ḍâri ḍuwâ’ oca’ nangèng aghânḍhu’ artè sèttong èsambhât,kata yang terjadi dari dua kata tetapi mengandung arti satu disebut
pabhâjheng sè ajhâr ma' lè pènter ghu' agghu',belajarlah yang rajin agar kelak jadi pintar 
èsankrasan orèng,diperbincangkan orang lain
bâḍâ sè ontong bâḍâ sè rogi,ada yang untung ada yang rugi
cè' anèna,sangat aneh
engko nyangkana la ta' kèra abâli,saya kira tidak akan kembali
sè èkacarèta otabâ sè ècarèta’aghi ḍâlem angghidhân narasi panèka èsambhât,yang diceritakan atau yang menjadi cerita dalam karangan narasi disebut
otamana ka oreng se bannya' teggal sabana se ahektaran tape ta' usa majar pajek polana pajek pon etanggung pamarenta kotthana bupatina ajanji mon ekaparcaja daddi bupatipajek tana ban bengko epatadha'a,terutama ke orang yang banyak tegal sawahnya yang berhektar-hektar tapi tidak usah membayar pajak karena pajak sudah ditanggung pemerintah kota bapak bupati berjanji kalau dipercaya jadi bupati pajak tanah dan rumah akan dihilangkan
mon mellèa kalambhi kodhu atok ghâllu,kalau hendak membeli pakaian haros dicoba terlebih dahulu
satrawi menangka lalake' tenggi kebbang berris asongodan,satrawi adalah lelaki tinggi besar berisi berkumis
enggi manossa pola sakeng todhus se wakkowagana,iya manusia mungkin saking malunya ke orang yang punya wewenang
cè' tètè,sangat teliti
kadhuwana sabbar narema ka paparengnga pangeran,keduanya sabar menerima ke pemberian tuhan
oca’ sè ètambâ’âghi è aḍâ’na oca’ asal panèka èsambhât ter-ater,kata yang ditambahkan di depan kata dasar disebut awalan
ramo' rajana la tadha',rumput besarnya sudah tidak ada
are la comped,hari sudah gelap
ḍâunna gheḍdâng,daunnya pisang
ma'ambu ca'na,kenapa berhenti
lalake'ganeko akaton asangaja tor abalangaja mateppa'a polo ganeko,laki-laki itu kelihatan sengaja dan memberanikan diri memperbaiki pulau itu
kolamma èpossa'è aèng,kolamnya dipenuhi air
lar-kolarjhȃng mara tabȃng sè è bunto’ sè èpeddhel dhȃddhi bunto’ pasanta’ tabȃng pacapo’ jhȃnto’,ular-ularan ayo kejar yang di ekor yang terpatuk jadi ekor kejar yang cepat sampai kena ketahuan
mon laju banjir se nadha'ana,kalau benar-benar banjiryang akan berjaga
okara è bȃbȃ rèya èssè’ è karoranganna mèlè ca’ oca’ sè èsaḍiya’aghi,kalimat di bawah ini diisi kekurangannya pilih kata yang disediakan
katon arekkep polo sè bânnya' kokos bher-ngabbher,terlihat memeluk pulau yang banyak asap beterbangan
sabbhȃn ghȃlompo’ ollè ghilirȃn maca hasèlla è aḍȃ’na kellas,setiap kelompok mendapat giliran membacakan hasilnya di depan kelas
ngandhel kuwa,memanaskan kuah
dalko' ngabber,lalat-lalat berterbangan
antarana bhumè bân langngè’ bâdâ apa,antara bumi dan langit ada apa
oca’ camporan sè alalabânan,kata majemuk yang berlawanan
ojhân ghâgghâr neng adâ'en matana tuni,hujan jatuh di depan matanya tuni
ngakan gâji buta,makan gaji buta
ḍumè alla,demi allah
ḍhâng-onḍhâng ḍhâsar,undang-undang dasar
kennengnganna talèng panèka è kacèrra aksara ghâjâng,posisi talèng ini ada di sebelah kiri aksara dasar
sabellun kennal bi' maya sè nyama aslina mad dulla,sebelum kenal dengan maya yang nama aslinya mad dulla
ketèghâ kangkang,masa kemarau
biyȃsana amaèn lar-kolarjhȃng bilȃ apa,biasanya bermain ular-ularan pada waktu apa
kaghâbây akantha conto è bâbâ arèya,buatlah seperti contoh di bawah ini
sèngko' ta' pema abit neng-enneng èmèn-rammèn,saya tidak betah lama berdiam di tempat yang ramai-ramai
dhâddhi sakola'an èsdè sè pagghun èkalèng-lèngè kan perrèng bi'kan keddhâng pas neng tengngana bâdâ tamennan kan jhâtè sèlanjhângnga la-ngalaè kan perrèng,jadi sekolahan sd yang tetap dilingkari pohon bambu dan pohon kedondong lalu di tengahnya ada tanaman pohon jati yang panjangnya melebihi pohon bambu
pas baramma saterrossa nape gi' epapagguna nyandhadhut e bungkella nangka,lalu bagaimana seterusnya apa masih dibiarkan saja meringkuk di pangkalnya pohon nangka
angen se nyaleyot dhari paddu bara' dhajana romana,angin yang menyelinap dari bagian barat laut rumahnya
e malem salasa kalebun kadhuwana pon rasmi,di malam selasa kliwon keduanya sudah resmi
badha cara ban atoranna maske atoran jareya ta' atoles,ada cara dan aturannya meskipun aturan itu tidak ditulis
oca’ nyèkot kalambhi tamaso’ ḍȃ’,kata menyikut baju termasuk ke
tacengnga' ka tama'in sè aporkalèpor bi'dari sakabbhinna ta' partajhâ jhâ' pogherrân bhâkal èterrosaghinna bi' tama'in,terkejut pada tama'in yang berlumuran darah semuanya tidak percaya bahwa penebangan akan diteruskannya oleh tama'in
ḍâina mencol taghudhuk ka tèmbo',dahinya benjol terantuk ke dinding
notobi are polana jarowa omba'na raja bila maso' ka tase',menutupi hari karena itu itu ombaknya besar kalau masuk ke laut
sabhârâng bâḍâ,bermacam-macam barang serba ada
binena ta' ekabareng,istrinya tidak diajak
kalaban abalangaja kakapper ganeko ngabber dhari settong bungka'an ka bungka'an se laen,dengan memberanikan diri kupu-kupu itu terbang dari satu pohon ke pohon yang lain
amarghâ segghut lè-tolèan,dhâghâ telambhâs ḍâri romana bâ'na
ekosistem èngghi panèka,ekosistem yaitu
sobbu pon dhapa' ka baktona,subuh sudah tiba waktunya
sop dhâghing,sup daging
tojjuwan se emaksod abak-rembaga masala se la marengsa magarsare sakam-pong,tujuan yang dimaksud merembukkan masalah yang sudah menyusahkan masyarakat sekampung
rangngo' maka baktona kodu nas-panas,rapuh maka waktunya harus panas-panas
atika èpadhâddhi katowa,atika dijadikan ketua
cè' nyamanna ngakan poḍéng ècampor vla,sangat enak makan puding bercampur vla
kana' rowa beccè' ongghu,anak itu sungguh baik
jhâ' ladhinè,jangan diladeni
orèng rowa leppè' ongghu mon nyarè pèssè,orang itu sangat pintar dalam mencari uang
buhhh kahl sara bariya tamennan bula epamateya gi,duhhh pelit gini tanaman saya mau dimatikan ya
disa dhinto neko tamaso' aman,desa sini itu termasuk aman
sakè' tengnga,sait punggung
petteng jibet,gelap gulita 
kana' binè' rowa cè' bhrâncana,anak perempuan itu sangat ramah
ta' nyaman,tidak enak
malle pendha maras sajjana #,biar terasa sebenarnya
jbá' rèng emma' dbibi' ka' sè mènta,kan orang ibu sendiri kak yang meminta
baramma pekkeranna,bagaimana pikirannya
sambi masemma'pangngara,sambil mendekatkan wajah
sabatara panomangan etotop kalaban bato kaletthak ko'-tako' me' badha keban se maso,sementara tungku ditutup dengan batu gunung takut-takut akan ada hewan yang masuk
orèng jiyâ temmo ngèbâkèyaè subayri ka las-alas,orang itu ternyata membawa kiai subairi ke hutan-hutan
ba'na baramma bing apa endha' se epakabina ban cong nangka saellana ba'na la tao dibi' ka orengnga sapa saongguna cong nangka ban ba'na la ngedhing dibi' apa se ekacaca ban cong nangka,kamu bagaimana nak apa mau yang dikawinkan dengan cong nangka setelah kamu sudah tahu sendiri ke orangnya siapa sesungguhnya cong nangka dan kamu sudah mendengar sendiri apa yang dibicarakanz oleh cong nangka
lajânganna reza katara ḍâri sè laèn amarghâ aghâmbhâr ḍâḍâ songot,layangannya reza kentara dari yang lain karena bergambar dada berkumis
èn-maènan bi' kancana,bermain-main beserta teman-temannya
èngghi panèka teks pidato sè èssèna maḍâpa’ pa-ponapa sè ampon èlampa’aghi,yaitu teks pidato yang isinya menyampaikan apa-apa yang sudah dikerjakan
e gadhi ta' bisa abiluk,di sana tidak bisa berbelok
manabi keddhâ’ nolongè abhersèyan èngghi panèka,jika ingin menolong membersihkan itu berarti
ḍâri sebâb rowa,dari sebab itu
kampong akampong,kawin
ana’ sèttong taḍâ’ polè èsambhât ana’,anak satu tidak ada lagi disebut anak
ta' jhâgâ saterrossa noro'ana'en,tidak bangun seterusnya mengikuti anaknya
ondem gita' makalowar bulân sè bisa ngojuk dragula dâri kampong posang,mendung masih tidak mengeluarkan bulan yang bisa mengusir dragula dari kampung posang
gettonnabudhu'na badha e kandhangnga,penyesalannya anaknya ada di kandang
bila apoy lekkas towa bato se eobbar bakal lekkas massa' daddi gampen,bila api lekas besar batu yang dibakar akan lekas masak menjadi gamping
cè' tobugghâ,sangat puas
cong ènè',anak kecil laki-laki
alako malolo terro paḍȃ’ȃ bȃn orèng,bekerja melulu ingin samanya dengan orang
kebbun tè,kebun teh
hp samangkèn ampon sajân canggih,hp sekarang sudah semakin canggih 
sardha areya ekagabay dhari torossa palembang se alanjangan ban araja'an moso thak-cathak polana esono'agi ka dha-lemma tabu'na jitho kaangguy ajugit mardha#,sodokan ini dibuat dari bambu apus yang lebih panjang dan lebih besar dari galah karena didorongkan ke dalam perut jitho untuk mengaduk bara
ḍimma sè tamaso’ bhȃk tebbhȃgghȃn,mana yang termasuk tebak-tebakan
ḍâun labâng,daun pintu
soro pasabbhâr sapa tao oca'en pa' ustat jiyâbhender,suruh bersabar siapa tahu ucapan pak ustad itu benar
ngala' ontong,mengambil untung
kaka' alè' rowa segghut atokar,kakak beradik itu sering bertengkar
jaman aher,jaman akhir kiamat 
palabbhuân kamal,pelabuhan kamal
juko' e gadhiya kennyang pon ta' endha' ka caceng kennyang kalaban kakanan se elanyo' dhari jauburan garowa,ikan di sana sudah kenyang tidak mau cacing kenyang karena makanan yang mengalir dari tempat pembuangan kotoran itu
aponapa panjhennengngan ampon ngaghâli,apakah anda sudah mengetahui
jhâ' no-ano,jangan anu-anu
neng dhisa dinna' bânnya' sè akonglangkong ka ka'-bhungkaan jhâtè,di desa sini banyak yang permisi pada pohon jati
ngolessè bhântal,membungkus bantal dengan sarungan
tajhin ètem,bubur hitam
bhȃsa sè èghuna’aghi neng pidato è balai dhisa,bahasa yang digunakan di pidato di balai desa
jhâmo cacèng,jamu untuk mengobati penyakit cacingan
penter ba'na cong,pintar kamu nak
ponapa sè bâḍâ è sakobhengnga panèka ta’ èghâmbârrâghi,apa yang ada di sekelilingnya tidak digambarkan
kakandha'an e palemperra pa' tenggi sajan aranca' jau arama' sokmana malem,perbincangan di teras pak kepala desa semakin menjalar jauh menyentuh sukmanya malam
sakè' pora',sakit kudis
ngerana coma pettong areyan tape aneko' pon lebbi sabulan,rencananya hanya tujuh hari tapi ini sudah lebih dari sebulan
bakto garowa gunna ekagabay teker se kalakowan ban ontongnga ta' sanape nongkes ngelas gi' nganggi' kadhari kare celo' se melleya roko',waktu itu hanya digunakan membuat teker yang pekerjaannya dan untungnya tidak seberapa tidak lurus tidak bagus masih menggunakan hanya tinggal sisa yang membeli rokok
bâkto ghâpanèka èsebbhut nangghâ’ ojhung sè namong èkamaèn manabi arokat mènta ojhân tor èmaènnaghi samalem bhentèng tè-ghântè orèng sè abhuwâng,waktu itu disebut menggelar ojhung yang hanya dimainkan apabila rukat meminta hujan dan dimainkan semalam suntuk berganti-ganti orang yang bertengkar
cacat bhâdhân,cacat badan
buru badha neko,baru ada ini
ja' pon abit se along-polong ma' gi' ta' gellem ngarte se raddin,soalnya sudah lama yang berkumpul kok masih tidak mau mengerti si cantik
bânnya' ra-cara sè èyangghuy ghâbây ngojuk santos,banyak cara yang dipakai untuk mengusir santos
èyatorè jâwâb pètanya pètanya è bâbâ ka’ḍinto kalabân pèlèyan sè palèng lerres,mohon jawab pertanyaan-pertanyaan di bawah ini dengan pilihan yang paling tepat
are pon compet,hari sudah gelap
ma' gunna kaso malolo katon ta' tennang mateppa'messin,kenapa capek terus kelihatan tidak tenang memasang mesin
ngoca' tentara blândhâ atowat polana ghimeng nyarè orèng sèngowasaè dhisa dinna',ucap tentara belanda berteriak karena pusing mencari orang yang menguasai desa sini
papaḍânna oca’ bhunga iyâ arèya,persamaan kata gembira yaitu
tello mennèt,tiga' menit
près sèttong,juara satu
semmot mèra,semut merah
abirjhi’ keccap bhân- sabbhân oca’ pas lajhu padhâddhi okara,memecah setiap kata berdasarkan suku katanya lalu menjadikannya kalimat
pamanna mangkat menta babine' ganeko kalaban sango pandu'a dhari oreng towa dhuwa'na mad ja',pamannya berangkat melamar perempuan itu dengan bekal doa dari kedua orang tuanya mad ja'i
ghi’ cè’ lagghuna,masih sangat pagi
eppa’ ghi’ bhuru ka kantor,bapak baru saja ke kantor
nyaosaghi onnat,menghaturkan hormat
sapa’an sè bisa èntar ka perpustakaan jȃrèya,siapa saja yang bisa pergi ke perpustakaan itu
èkettè' jhârân,terkena terjang kuda
pon pan-barampan lalake' ganeko badha e gadhiya,sudah beberapa kali laki-laki itu ada di sana
bhâstoan semar simar la ollè tello bulân,hancuran semar simar sudah dapat tiga bulan
ta' enḍer,tak kunjung
aèssè tape bȃnnè jhuko’,berisi tapi bukan ikan
kalambhi sè kotor kodhu è,baju yang kotor harus di
lalake'ganeko abak galiya' kalaban toju'na agalu'ceng agaru obu' ta' nemmo bagiyan dhimma se gatel,laki-laki itu  sedikit geli dengan duduknya bergerak menggaruk rambut tidak menemukan bagian mana yang gatal
dhinèng oca’ idae ḍâri oca’ bhâsa yunani kona sè artèna bhâruwâng kèya bân bhâsa inggrissâ iyâ arèya bear ḍâri bhâsa inggris kona iyâ arèya bera,sedangkan kata idae dari kata bahasa yunani kuno yang artinya beruang juga dan bahasa inggrisnya yaitu bear dari bahasa inggris kuno yaitu bera
e are ganeko are pon para' so-rop are,di hari itu hari sudah hampir terbenam matahari
embu’ bȃn embhuk abhersèyan apa,ibu dan kakak membersihkan apa
mercon rèntèngan,petasan rentengan
brudin nangès ging-ginggingan,brudin menangis sejadi-jadinya
bhuto dhika,butuh dirimu
elmo alam,ilmu alam 
carèta sè aèssè sajârâ kabâḍâ’an kaoḍi’ân rèn-arèn tamaso’ ḍâ’ èssèna teks,cerita yang berisi sejarah keadaan kehidupan sehari-hari termasuk ke isinya teks
kakè kalowar dâri kampong dinna',kamu keluar dari kampung sini
se kadhuwa pon entar ka temor songay,keduanya sudah pergi ke timur sungai
taḍâ’ sè abhânto,tidak ada yang membantu
dâri lao' langsong aburu ka dâjâ,dari selatan langsung lari ke utara
ngèco' pèssè kan cana dhibi',mencuri uang temannya sendiri
tama'in marè amandi bi' marè ngakan reng-bhâreng bi' rèng sè nolongè,tama'in selesai mandi dan selesai makan bersama-sama dengan orang yang menolongnya
ra'-ora' tengngrenteng kabbhi,urat-urat menjadi tegang semuanya
topik bhâb ghârâ’â,topik tentang gerhana
ta’ ollè ma’ nyemma’ ka kèbȃn,tidak boleh mendekat-dekat ke hewan
nètè sapèḍa,mengendarai sepeda
karo rèng mancèng sè ta' kennal ka tèra'an,beda dengan orang mancing yang tidak kenal lebaran
olar bhellâng,ular belang
kajuwan-kajuwan cara ganeko pon abit ta' etengale kakapper gaeko,kayu-kayu seperti itu sudah lama tidak dilihat kupu-kupu itu
sarsè otangnga,lunas hutangnya
ènga' anḍi'na bâ'na,seperti kepunyaanmu
badha keya se ejulidagi ka baji' se bakal ekeba'a ajala-nan,ada juga yang dioleskan ke bayi yang akan dibawa bepergian
tokang tepo,penipu  
menta tolong ngosong jasadda man satrawi,minta tolong menggotong jasadnya paman satrawi
neng dhisa dinna' bâdâperrèyan,di desa sini ada kesakitan
gheḍḍhâng susu pas kasusu,pisang susu lalu tergesa-gesa
pakakas sè kaangghuy maḍâpa’ karep ḍâ’ ka orèng laèn èngghi panèka,perkakas yang untuk menyampaikan keinginan kepada orang lain yaitu
bânangan satèya bhâ' ghi' bâḍââ,lagipun sekarang apa masih ada
manḍii mayyit,memandikan mayat
kajaba seppe,kecuali sepi
apa oca’na brudin saellana èmellèyaghi ajâm ban ebhuna,apa ucapan brudin setelah dibelikan ayam oleh ibunya
sebbhuttaghi ma-nyamana ghȃlompo’na bhȃrȃng è bȃbȃ rèya,sebutkan nama-namanya kelompoknya barang di bawah ini
laju loppae ka se kona,lalu lupa ke yang dulu
sabhâligghâ ad,kebalikannya
salèng ngantem,saling menghantam
sampe'sapa oreng se aroko' cap balanan ganeko ta' nyawot colok kalebunna,sampai siapa pun orang yang merokok cap 'balanan' itu tidak menyahut mulut kepala desanya
ḍȃri lombȃng nyepper ḍȃ’ ḍimma,dari lombang singgah ke mana
ѐyatorè karembhâk sareng ghâlimpo’na sampèyan ka’angghuy nyerrat kalalbân carkan madhurâ,silakan berdiskusi dengan kelompokmu guna untuk menulis dengan aksara madura
lanḍhâna roman,air abu batang padi yang dibakar
macemma jhughân paḍâ sareng pantun,macamnya juga sama dengan pantun
kata' potè,katak putih
dhu' bellas,dua belas
makè la marè apolong tèdung libâliyân pagghun ta'ghellem èssè tabu'en cebbi,meskipun sudah selesai berkumpul tidur berulang kali tetap tidak mau isi perutnya cebbi
bubuk sala settongnga epadaddi camporra tana ban semmen se ekoca' lolo,bubuk salah satunya dijadikan campuran tanah dan semen yang disebut adonan semen
rèng kaduwwâ ta' bisa acaka polè,kedua orang itu tidak bisa berbicara lagi
berta aḍhâsar ḍâ’ kadhâddhiyân sè saongghuna bânnè ghâbâyân otabâ ḍâ mabâḍâ tamaso’ ḍâ’ syarat berta sè,berita berdasar pada kejadian yang sesungguhnya bukan buatan atau mengada-ada termasuk ke syarat berita yang
sakabbhinna rèng-orèng kampong molaèbhunga,semua orang-orang kampung mulai bahagia
bunga gi pon bunga,bahagia ya sudah bahagia
kakapper ngedhing monyena kata' se dung-seldungan gung-algungan ban gung-agungan,kupu-kupu mendengar bunyinya katak yang melompat-lompat berbunyi dan bersuara
nom mari bi' ca-kancana amandi apoy,nom mari dan teman-temannya mandi api
segghut ghâllu,terlalu sering
tanangnga èkello' apoy,tangannya terbakar api
lapangan bal,lapangan bola
bâlânjâ rèsaarèna kèya mènjhâm ka orèng,belanja kesehariannya juga meminjam pada orang
matana sabinè'en teppa'en meddhem,mata istrinya tepatnya terpejam
perpustakaan rèya kennengngan apa,perpustakaan itu tempat untuk apa
yâ abâk jhâu kèya kance'en bi'kennenganna tuni,ya agak jauh juga jaraknya dengan tempatnya tuni
mèla ḍâri ghâpanèka dhâddhi manossa ngèrèng paḍâ ngormat,maka dari itu jadi manusia mari sama-sama menghormat
enggi mon bisa ejuwal anapa,ya kalau bisa dijual kenapa
nyama bhâsa èngghi bhuntenna,nama bahasa engghi bhuntenna
towa ngoḍâ,tua muda
ban dika ta' parlo tao ja' bula andhi' otang,dan kamu tidak perlu tahu bahwa aku punya utang
aneka paparengnga se kobasa,ini pemberian yang kuasa
abârna ennyat,berwarna merah muda
rèng-orèng pagghun adântos bâdâna ninja sè bâdâneng attas ka'-bhungkaan,orang-orang tetap menunggu adanya ninja yang ada di atas bukit
aba'na pajat ta' aserro polana kapateyan,dia memang tidak mengeluh karena ada yang meninggal
kata' ganeko lalak dhalem perro'na olar,kodok itu melebar di dalam perutnya ular
manto ponakan,menantu kemenakan
abhersèyan neng tanèyan,membersihkan di halaman
rèn-yarè alana orèng laèn,mecari-cari kesalahan orang lain
nagara mardika,negara merdeka 
ancor pessena tellor,hancur uangnya telur
samsul mènta sapora polana ta’ ètengnget,samsul minta maaf karena tidak waspada
badha se aberri' pesse sanajjan sakone',ada yang memberi uang meskipun sedikit
satto abaludhus lekkas lebat kopeng kanganna,sattp langsung cepat lewat telinga kanannya
dhâpa' tanang,telapak tangan
ambu ra ja' ameler,berhenti dong jangan bercanda
labâng bugi,pintu belakang
marabhut kur’an rosak,ibarat al-qur'an rusak
pèlak ngèmpo' pèssè,pandai mengumpulkan uang
rama maos koran sambi rèn-sarènan,ayah membaca koran sambil tidur-tiduran
polana bânnya' manossa sekalowar neng tabu'en emma'en tadâ' pas bânnya' rèng abangon roma,karena banyak manusia keluar di perut ibunya lalu banyak orang membangun rumah
settong petanya se ater-enter dhalem pekkeranna,satu pertanyaan yang berputar-putar dalam pikirannya
nengale sampeyan,lihatlah kamu
rèng-orèng toron kabbhi dâri ettrek sambi negghu' râng-bhârângnga,orang-orang turun semua dari truk sambil memegang barang-barangnya
gânḍâ beḍḍhâ',bedak wangi
berta angèn,kabar angin
semmo rajâ,agak besar
rama ghi' teppa'na asèram,ayah sedang mandi
tengka aneka cong nangka abak ngorange,dengan begitu cong nangka sedikit berkurang
mad heji ghi' neng-neng ta'ngoca'pa-apa,mad heji masih diam tidak berkata apa-apa
romana karè maèsak sè bâgiyân attassa,rumahnya tinggal memasang yang bagian atasnya
masè èbâghiâ,barangkali akan diberikan
abherri’ berta ka sè ngèḍingngaghi,memberi berita ke yang mendengarkan
maju maju engko'nolongnganna,maju maju aku akan menolongnya
ta' ambu,tak usah tanpa 
ma' baramma'an polisi jareya,kenapa seperti itu polisi itu
koceng ganeko banne koceng kampong se gunna macaremmeddan ban ma ta' latenan se gunna ngakan kakapper otaba mano' otaba juko',kucing itu bukan kucing kampung yang hanya membuat kesal dan membuat tidak kuat yang hanya memakan kupu-kupu atau burung atau ikan
parao lajar,perahu layar
bhâthangnga tèkos bâuna bâceng,bangkai tikus baunya busuk
oreng kene',orang kebanyakan rakyat jelata
sapena takerjat,sapinya terkejut
sè 20 mègghi’ jȃrèya ènyamaè aksara ghȃjȃng,yang 20 biji itu disebut aksara hanacaraka
pekkeranna aca'-ranca' san-kessanagi,pikirannya bercabang ke mana-mana
lancèng kana' bân manjhâ pottrè,èn-maènan ghun è tanèyan
lebbi larang ajâm sè cor-lancor ètèmbhâng ajâm sè ella towa,lebih mahal ayam yang masih muda dari pada ayam yang sudah tua
neko' saeket gallu,ini lima puluh dulu
jherrâghânna bhâko,juragan tembakau
na'-kana' ngangoḍâdhân satèya bânnya' sè kedhâghiân narkoba,anak-anak remaja sekarang banyak yang ketagihan narkoba
molaè dâri èsdè kellas ennem sampè' satèya,mulai dari di sd kelas enam sampai sekarang
carètana ḍhempo abâng èngghi panèka contona carèta sè aropa,cerita dhempo abang adalah contoh cerita yang berupa
torè manabi ngobbhârâ musolla sèèkennengngè romo kassa,ayo kalau mau membakar musala yang ditempati romo itu
ḍâ' kanna'an,kesini lebih mendekat
akadhi cè’ lorossa,seperti sangat lurusnya
arapa bân-kèbân sè bâd͎ â è kebun binatang ma’ èkoca’ èlombhâr tapè èlebheng,kenapa hewan-hewan yang ada di kebun binatang kok dikatakan dilepas tapi dikurung
aèng matana tuni ghâgghârâ,air matanya tuni jatuh
ngèco' ajàm,mencuri ayam
jhâ' gu-ganggu,jangan diganggu-ganggu
saghuli ennengnga,tingkah perbuatannya
sabban buntegga tarebung,setiap potongan tegal
cè' lemmessa,sangat lemas
mon ka oreng towa ta' ngampe' ya,kalau ke orang dewasa tidak mencapit ya
lailahaillallah lailahaillallah lailahaillallah,lailahaillallah lailahaillallah lailahaillallah
ja' kalako pangara jareya me' teppa' ka na' poto dibi,kalau kelakuan seperti itu jika tepat ke cucunya sendiri
tanangnga lanjhâng cè'lanjhângnga,tangannya panjang sangat panjang
tembhȃng macapat madhurȃ asalla ḍȃri,tembang macapat madura asalnya dari
bennang emmas,benang emas
sèla ḍâ' iyâ,sala ḍâ' iyâ
tapè dâ'râmma'a polè mon jusop terro temmoa bi'dragula ma'lè tao alasanna dragula jhâ' apa ma' matè'è rèng sè la towa,tapi bagaimana lagi kalau jusop ingin bertemu dengan dragula agar tahu alasannya dragula kenapa kok membunuh orang yang sudah tua
loppa ka baji',lupa dengan jijik
nyalaop-nyalaop e attasanna tase' nyalaop e attasanna omba',merap-merap di atas laut merap-merap di atas ombak
korang pertajâ,kurang percaya
dhujân ngèco'an,suka mencuri
ngoca' radèn wijaya lèk-ngèlèghi dâri tas ghunong sambi sem-mèsem,ucap raden wijaya melirik dari atas gunung sambil senyum-senyum
hadis sohèh,hadist shahih
polana kala ka partai sè bâdâ neng madhurâ,karena kalah dari partai yang ada di madura
tada' rèng majângan bi' rèng mancèngn,tidak ada nelayan jaring maupun pemancing yang melaut
sè ngangghit tembhâng èngghi panèka,yang mengarang tembang yaitu
pasangê tanḍhâ lang kalèng x neng huruf a b otabâ c kantos,berilah tanda silang x pada huruf a b atau c dengan
pangkor nyangkornyangan artèna,pangkor berkilau-kilauan artinya
ram-mena banne polana perak,ramainya bukan karena senang
jhȃjhȃl aghȃbȃy oca’ kèrata bhȃsa bȃnnya’na 5 mègghi’,coba membuat kata kerata bahasa banyaknya 5 biji
ana'na la terbi',anaknya telah lahir
buari molè dâri konco'en mekkasân,bu ari pulang dari ujung pamekasan
jembar molae nyonar dhari mowana,lega mulai bersinar dari wajahnya
para rabu sè moljâ,para hadirin yang mulia
nalèka kennengnga bulân bâḍâ è nga’-tengnga’anna mata’arè è bhumè bulân lajhu sabâgiyân ta’ nèngalè mata’arè è bâkto ghâpanèka lajhu ènyamaè arè ghârâ’ân,ketika letaknya bulan ada di tengah-tengahnya matahari di bumi bulan lalu sebagian tidak melihat matahari di waktu itu lalu dinamai hari gerhana
koko sokona sè ḍimma sè ta’ bisa èpamaso’,kuku kakinya yang mana yang tidak bisa dimasukkan
rèng-orèng molè kabbhi,orang-orang pulang semua
satos èbu ropèya,seratus ribu rupiah
congorra co’cong ghighina nè’ kènè’ tape jhȃng lanjhȃng,moncongnya runcing giginya kecil-kecil tapi panjang-panjang
bhul ombhul bâca’an è attas iyâ arèya,judul bacaan di atas yaitu
sèngko’ ngatorraghi songkem pangabhâktè kanjeng obâ’,aku menghaturkan sembah bakti kanjeng paman
dhâddhi tonjhu',jadi mata-mata
neng kampong bangkong bâdâ masjid,di kampung bangkong ada masjid
